year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,candidatevotes,totalvotes,% of Total Votes,Rank,President
1976,Alabama,AL,1,63,41,US President,"Carter, Jimmy",democrat,"659,170","1,182,850",55.73%,1,YES
1976,Alabama,AL,1,63,41,US President,"Ford, Gerald",republican,"504,070","1,182,850",42.61%,2,NO
1976,Alaska,AK,2,94,81,US President,"Ford, Gerald",republican,"71,555","123,574",57.90%,1,NO
1976,Alaska,AK,2,94,81,US President,"Carter, Jimmy",democrat,"44,058","123,574",35.65%,2,YES
1976,Arizona,AZ,4,86,61,US President,"Ford, Gerald",republican,"418,642","742,719",56.37%,1,NO
1976,Arizona,AZ,4,86,61,US President,"Carter, Jimmy",democrat,"295,602","742,719",39.80%,2,YES
1976,Arkansas,AR,5,71,42,US President,"Carter, Jimmy",democrat,"498,604","767,535",64.96%,1,YES
1976,Arkansas,AR,5,71,42,US President,"Ford, Gerald",republican,"267,903","767,535",34.90%,2,NO
1976,California,CA,6,93,71,US President,"Ford, Gerald",republican,"3,882,244","7,803,770",49.75%,1,NO
1976,California,CA,6,93,71,US President,"Carter, Jimmy",democrat,"3,742,284","7,803,770",47.95%,2,YES
1976,Colorado,CO,8,84,62,US President,"Ford, Gerald",republican,"584,278","1,081,440",54.03%,1,NO
1976,Colorado,CO,8,84,62,US President,"Carter, Jimmy",democrat,"460,801","1,081,440",42.61%,2,YES
1976,Connecticut,CT,9,16,1,US President,"Ford, Gerald",republican,"719,261","1,386,355",51.88%,1,NO
1976,Connecticut,CT,9,16,1,US President,"Carter, Jimmy",democrat,"647,895","1,386,355",46.73%,2,YES
1976,Delaware,DE,10,51,11,US President,"Carter, Jimmy",democrat,"122,461","235,642",51.97%,1,YES
1976,Delaware,DE,10,51,11,US President,"Ford, Gerald",republican,"109,780","235,642",46.59%,2,NO
1976,District of Columbia,DC,11,53,55,US President,"Carter, Jimmy",democrat,"137,818","168,830",81.63%,1,YES
1976,District of Columbia,DC,11,53,55,US President,"Ford, Gerald",republican,"27,873","168,830",16.51%,2,NO
1976,Florida,FL,12,59,43,US President,"Carter, Jimmy",democrat,"1,636,000","3,150,631",51.93%,1,YES
1976,Florida,FL,12,59,43,US President,"Ford, Gerald",republican,"1,469,531","3,150,631",46.64%,2,NO
1976,Georgia,GA,13,58,44,US President,"Carter, Jimmy",democrat,"979,409","1,463,152",66.94%,1,YES
1976,Georgia,GA,13,58,44,US President,"Ford, Gerald",republican,"483,743","1,463,152",33.06%,2,NO
1976,Hawaii,HI,15,95,82,US President,"Carter, Jimmy",democrat,"147,375","291,301",50.59%,1,YES
1976,Hawaii,HI,15,95,82,US President,"Ford, Gerald",republican,"140,003","291,301",48.06%,2,NO
1976,Idaho,ID,16,82,63,US President,"Ford, Gerald",republican,"204,151","340,932",59.88%,1,NO
1976,Idaho,ID,16,82,63,US President,"Carter, Jimmy",democrat,"126,549","340,932",37.12%,2,YES
1976,Illinois,IL,17,33,21,US President,"Ford, Gerald",republican,"2,364,269","4,721,282",50.08%,1,NO
1976,Illinois,IL,17,33,21,US President,"Carter, Jimmy",democrat,"2,271,295","4,721,282",48.11%,2,YES
1976,Indiana,IN,18,32,22,US President,"Ford, Gerald",republican,"1,183,958","2,220,362",53.32%,1,NO
1976,Indiana,IN,18,32,22,US President,"Carter, Jimmy",democrat,"1,014,714","2,220,362",45.70%,2,YES
1976,Iowa,IA,19,42,31,US President,"Ford, Gerald",republican,"632,864","1,279,303",49.47%,1,NO
1976,Iowa,IA,19,42,31,US President,"Carter, Jimmy",democrat,"619,931","1,279,303",48.46%,2,YES
