Year,Total Votes ,MvI,Votes_MvI,Winning_Party,Main_Votes,Ind_Votes,R_Votes,D_Votes,RvD_Votes,Prop_Ind_Votes,RvD,Party_Votes,R_Winning,D_Winning,RPer_of Total,DPer_of Total
1976,88269606,Independent,8718267,Democrat,79551339,8718267,38870893,40680446,38870893,0.098768618,Republican,Democrat,287436540,266377240,0.420084047,0.452409987
1980,89597831,Independent,10474244,Republican,79123587,10474244,43642639,35480948,43642639,0.116902875,Republican,Republican,321328861,236957455,0.469617149,0.402443989
1984,99461671,Independent,7845029,Republican,91616642,7845029,54166829,37449813,54166829,0.078874896,Republican,Independent,75470389,85461414,0.110298804,0.145146024
1988,98072508,Independent,7713189,Republican,90359319,7713189,48642640,41716679,48642640,0.07864782,Republican,,,,,
1992,115218928,Independent,31563268,Democrat,83655660,31563268,38798913,44856747,38798913,0.273941691,Republican,,,,,
1996,106048512,Independent,19749464,Democrat,86299048,19749464,39003697,47295351,39003697,0.186230468,Republican,,,,,
2000,116034305,Independent,16060619,Republican,99973686,16060619,50311372,49662314,50311372,0.138412679,Republican,,,,,
2004,129797716,Independent,10475465,Republican,119322251,10475465,61872711,57449540,61872711,0.080706081,Republican,,,,,
2008,143002282,Independent,14049601,Democrat,128952681,14049601,59613835,69338846,59613835,0.09824739,Republican,,,,,
2012,136256781,Independent,11380814,Democrat,124875967,11380814,60670117,64205850,60670117,0.083524753,Republican,,,,,
2016,151271759,Independent,22901843,Republican,128369916,22901843,62692670,65677246,62692670,0.151395364,Republican,,,,,
1976,88269606,Main,79551339,Democrat,79551339,8718267,38870893,40680446,40680446,0.098768618,Democrat,,,,,
1980,89597831,Main,79123587,Republican,79123587,10474244,43642639,35480948,35480948,0.116902875,Democrat,,,,,
1984,99461671,Main,91616642,Republican,91616642,7845029,54166829,37449813,37449813,0.078874896,Democrat,,,,,
1988,98072508,Main,90359319,Republican,90359319,7713189,48642640,41716679,41716679,0.07864782,Democrat,,,,,
1992,115218928,Main,83655660,Democrat,83655660,31563268,38798913,44856747,44856747,0.273941691,Democrat,,,,,
1996,106048512,Main,86299048,Democrat,86299048,19749464,39003697,47295351,47295351,0.186230468,Democrat,,,,,
2000,116034305,Main,99973686,Republican,99973686,16060619,50311372,49662314,49662314,0.138412679,Democrat,,,,,
2004,129797716,Main,119322251,Republican,119322251,10475465,61872711,57449540,57449540,0.080706081,Democrat,,,,,
2008,143002282,Main,128952681,Democrat,128952681,14049601,59613835,69338846,69338846,0.09824739,Democrat,,,,,
2012,136256781,Main,124875967,Democrat,124875967,11380814,60670117,64205850,64205850,0.083524753,Democrat,,,,,
2016,151271759,Main,128369916,Republican,128369916,22901843,62692670,65677246,65677246,0.151395364,Democrat,,,,,
